zipcode,lat,long,sqft_living15,sqft_lot15,zip_price_level
98001,47.309,-122.2706,1828.8564,11214.4033,12.4933
98002,47.3088,-122.2134,1479.0302,7585.4824,12.3535
98003,47.3157,-122.3101,1876.1964,9746.1786,12.5272
98004,47.6162,-122.2052,2674.7003,12805.0221,13.9889
98005,47.6115,-122.1673,2567.8631,18367.7738,13.5596
98006,47.558,-122.1468,2785.6124,12159.9598,13.5865
98007,47.6105,-122.1421,2124.8227,9579.9007,13.2701
98008,47.6133,-122.1158,2021.1307,9494.9965,13.2822
98010,47.3332,-121.9995,2008.76,47830.27,12.857
98011,47.7552,-122.2012,2248.0769,9512.0872,13.0697
98014,47.6715,-121.8485,1929.0161,77979.621,12.9012
98019,47.7371,-121.9548,2103.7211,37016.5105,12.925
98022,47.2115,-121.9952,1798.8034,51451.641,12.5768
98023,47.3086,-122.3643,1963.7315,9735.4048,12.52
98024,47.5584,-121.9053,2128.2222,78785.1728,13.1659
98027,47.5217,-122.0428,2375.6772,28435.5607,13.2481
98028,47.7551,-122.246,2091.3004,10119.7067,12.9796
98029,47.5596,-122.0057,2214.2679,7045.3894,13.274
98030,47.369,-122.1904,1919.4219,8576.9062,12.5556
98031,47.4038,-122.1892,1911.0839,8480.6204,12.5876
98032,47.3736,-122.2788,1668.632,9271.928,12.4022
98033,47.6801,-122.1877,2209.588,9918.287,13.4786
98034,47.7207,-122.2074,1913.7156,8495.5028,13.0725
98038,47.3706,-122.0318,2118.422,20054.7678,12.7494
98039,47.6258,-122.2335,3132.2,17291.1,14.4335
98040,47.5598,-122.2256,2898.7447,12801.2837,13.9128
98042,47.3657,-122.1155,1956.5821,14702.2099,12.6029
98045,47.4734,-121.759,1913.7783,32183.3258,12.8957
98052,47.6805,-122.1193,2333.7265,10065.1777,13.3466
98053,47.6799,-122.0228,2475.0494,29086.4148,13.3301
98055,47.4587,-122.2028,1785.7276,7612.1754,12.5824
98056,47.5097,-122.1828,1906.7365,7828.6601,12.8619
98058,47.4461,-122.1461,1976.5473,13819.8264,12.7067
98059,47.4927,-122.139,2348.7457,12597.6453,13.0139
98065,47.5317,-121.8619,2518.2742,11241.7484,13.1343
98070,47.4174,-122.4638,1776.9492,81290.8644,13.0012
98072,47.751,-122.132,2356.4469,23975.0623,13.2039
98074,47.6241,-122.0448,2585.195,13179.1179,13.3797
98075,47.5875,-122.0225,2980.1309,15055.8663,13.5389
98077,47.7459,-122.0612,2782.5253,45491.7677,13.3729
98092,47.3018,-122.168,2130.0228,30211.0313,12.6413
98102,47.6346,-122.3222,1958.3333,3310.1333,13.5641
98103,47.676,-122.3441,1524.1528,3472.3239,13.2184
98105,47.6651,-122.2943,2028.6245,4939.0175,13.5415
98106,47.5362,-122.3568,1361.2299,5120.1373,12.6309
98107,47.6698,-122.3756,1520.1504,3438.8571,13.2178
98108,47.5498,-122.3069,1571.129,5045.9839,12.7356
98109,47.6356,-122.3501,1928.3486,3605.7248,13.5957
98112,47.6296,-122.2979,2280.0781,4898.1599,13.7823
98115,47.6855,-122.3018,1691.6141,5286.4751,13.274
98116,47.5739,-122.3936,1693.4818,4924.7939,13.2833
98117,47.6869,-122.3786,1540.0,4639.7468,13.2097
98118,47.5438,-122.2756,1613.5177,5549.313,12.8259
98119,47.64,-122.3669,1865.4348,3727.4946,13.5687
98122,47.6102,-122.2998,1710.8207,3561.9828,13.2909
98125,47.717,-122.3012,1657.0195,7303.6073,12.9876
98126,47.5446,-122.3753,1413.0339,5027.4068,12.8824
98133,47.7356,-122.3438,1554.9008,6719.7186,12.8294
98136,47.5388,-122.3882,1672.1673,5753.3802,13.1592
98144,47.5863,-122.2984,1757.7172,3923.9883,13.1303
98146,47.5021,-122.3583,1535.375,8263.7049,12.6439
98148,47.4374,-122.3293,1611.2281,8812.386,12.4862
98155,47.7549,-122.3035,1716.7108,9812.8812,12.8863
98166,47.4552,-122.3503,1886.8504,12694.3228,12.9112
98168,47.4897,-122.3079,1471.6803,9744.0223,12.3508
98177,47.7424,-122.3693,2186.1961,11690.2392,13.3045
98178,47.4991,-122.247,1648.8168,8149.6412,12.5574
98188,47.4473,-122.281,1636.2794,9752.8015,12.4971
98198,47.3908,-122.3157,1711.5714,9478.5964,12.527
98199,47.6481,-122.3985,1991.1672,5283.735,13.4828
